anime_id,name,genre,type,episodes,rating,members,popularity_tier,episode_bucket,is_highly_rated,genre_list
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1.0,9.37,200630,Popular,Single,1,"['Drama', 'Romance', 'School', 'Supernatural']"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64.0,9.26,793665,Mega Hit,Very Long,1,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.25,114262,Popular,Long,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24.0,9.17,673572,Mega Hit,Standard,1,"['Sci-Fi', 'Thriller']"
9969,Gintama',"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.16,151266,Popular,Long,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,9.15,93351,Moderate,Short,1,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148.0,9.13,425855,Popular,Very Long,1,"['Action', 'Adventure', 'Shounen', 'Super Power']"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,9.11,80679,Moderate,Very Long,1,"['Drama', 'Military', 'Sci-Fi', 'Space']"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,9.1,72534,Moderate,Single,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
15417,Gintama': Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,9.11,81109,Moderate,Standard,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749,Popular,Standard,1,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1.0,9.05,102733,Popular,Single,1,"['Drama', 'School', 'Shounen']"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,9.04,336376,Popular,Very Long,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,8.98,572888,Mega Hit,Standard,1,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342,Popular,Standard,1,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,8.93,466254,Popular,Single,1,"['Adventure', 'Drama', 'Supernatural']"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22.0,8.92,416397,Popular,Standard,1,"['Drama', 'Music', 'Romance', 'School', 'Shounen']"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.88,75894,Moderate,Short,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1.0,8.84,226193,Popular,Single,1,"['Fantasy', 'Slice of Life']"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,8.83,715151,Mega Hit,Standard,1,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670,Popular,Very Long,1,"['Comedy', 'Drama', 'Shounen', 'Sports']"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,8.83,129307,Popular,Short,1,"['Action', 'Drama', 'Historical', 'Martial Arts', 'Romance', 'Samurai']"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824,Popular,Standard,1,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,8.82,552458,Mega Hit,Short,1,"['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556,Popular,Single,1,"['Action', 'Adventure', 'Fantasy']"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297,Popular,Single,1,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959,Popular,Standard,1,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.8,101351,Popular,Short,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030,Popular,Standard,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962,Mega Hit,Long,1,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487,Popular,Long,1,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.76,38865,Moderate,Standard,1,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995,Moderate,Standard,1,"['Comedy', 'Drama', 'Shounen', 'Sports']"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,8.75,32266,Moderate,Single,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.75,98431,Moderate,Standard,1,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
